Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
Tank.LWBTC-01.DB,DB3.REAL4360,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTC-01.Dens,DB3.REAL4364,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTC-01.LI,DB3.REAL4324,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTC-01.Mode,DB3.WORD4338,Word,1,R/W,1000,,,,,,,,,,,
Tank.LWBTC-01.OWSelect,DB3.X4336.0,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTC-01.PV,DB3.REAL4344,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTC-01.Ready,DB3.X4336.1,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTC-01.SP,DB3.REAL4340,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTC-01.SP_Ctrl,DB3.REAL4376,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTC-01.SPLVH,DB3.REAL4368,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTC-01.SPLVL,DB3.REAL4372,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTC-01.VI,DB3.REAL4328,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTC-01.Volume,DB3.REAL4348,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTC-01.WI,DB3.REAL4332,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-02.CDBLVH,DB3.REAL310,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-02.CDBLVL,DB3.REAL314,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-02.DB,DB3.REAL318,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-02.Dens,DB3.REAL322,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-02.LI,DB3.REAL282,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-02.Mode,DB3.WORD296,Word,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-02.OWSelect,DB3.X294.0,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-02.PV,DB3.REAL302,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-02.Ready,DB3.X294.1,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-02.SP,DB3.REAL298,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-02.SP_Ctrl,DB3.REAL334,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-02.SPLVH,DB3.REAL326,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-02.SPLVL,DB3.REAL330,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-02.VI,DB3.REAL286,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-02.Volume,DB3.REAL306,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-02.WI,DB3.REAL290,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-03.CDBLVH,DB3.REAL686,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-03.CDBLVL,DB3.REAL690,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-03.DB,DB3.REAL694,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-03.Dens,DB3.REAL698,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-03.LI,DB3.REAL658,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-03.Mode,DB3.WORD672,Word,1,R/W,1000,,,,,,,,,,,
